COMPETENCIA;VALOR_CALCULADO;VALOR_GOOGLE
01/08/1987;1969.92;42000,00000000000000
01/09/1987;2062.31;42000,00000000000000
01/10/1987;2159.03;42000,00000000000000
01/11/1987;2260.29;42000,00000000000000
01/12/1987;2550.0;42000,00000000000000
01/01/1988;3060.0;66000,00000000000000
01/02/1988;3600.0;66000,00000000000000
01/03/1988;4248.0;66000,00000000000000
01/04/1988;4932.0;66000,00000000000000
01/05/1988;5918.0;66000,00000000000000
01/06/1988;6984.0;66000,00000000000000
01/07/1988;8376.0;66000,00000000000000
01/08/1988;10464.0;66000,00000000000000
01/09/1988;12702.0;66000,00000000000000
01/10/1988;15756.0;66000,00000000000000
01/11/1988;20476.0;66000,00000000000000
01/12/1988;25595.0;66000,00000000000000
01/01/1989;31.86;84000,00000000000000
01/02/1989;36.74;84000,00000000000000
01/03/1989;36.74;84000,00000000000000
01/04/1989;36.74;84000,00000000000000
01/05/1989;46.8;84000,00000000000000
